datetime_utc_0,actual_time_utc_0,postal,booking_id,committed_time_utc_0,estimated_time_utc_0,status,type
2017-06-09T16:20:25.000+02:00,,10405,6c86c739-af50-4f9c-98e0-63bf3eaaab52,2017-06-09T16:31:22.000+02:00,2017-06-09T16:31:22.000+02:00,open,dropoff
2017-06-09T16:20:34.000+02:00,,10969,5e01790e-6e9c-4f6b-8686-8099325f4a46,2017-06-09T16:31:32.000+02:00,2017-06-09T16:31:32.000+02:00,cancelled,pickup
2017-06-09T16:20:34.000+02:00,,10997,5e01790e-6e9c-4f6b-8686-8099325f4a46,2017-06-09T16:42:33.000+02:00,2017-06-09T16:42:33.000+02:00,cancelled,dropoff
2017-06-09T16:20:39.000+02:00,,10969,e507f273-b4fd-46dd-9ce0-9f7e5240b5d1,2017-06-09T16:29:45.000+02:00,2017-06-09T16:29:45.000+02:00,open,pickup
2017-06-09T16:20:43.000+02:00,,10969,e507f273-b4fd-46dd-9ce0-9f7e5240b5d1,2017-06-09T16:29:45.000+02:00,2017-06-09T16:29:45.000+02:00,open,pickup
2017-06-09T16:21:38.000+02:00,,10969,7c6012e0-564c-4b2a-a7be-2f5699da9ed2,2017-06-09T16:22:11.000+02:00,2017-06-09T16:22:11.000+02:00,open,pickup
2017-06-09T16:22:01.000+02:00,,10119,b199cf69-840c-4e9b-aa73-e976e2272583,2017-06-09T16:39:52.000+02:00,2017-06-09T16:39:52.000+02:00,open,dropoff
2017-06-09T16:23:01.000+02:00,,10969,e507f273-b4fd-46dd-9ce0-9f7e5240b5d1,2017-06-09T16:29:45.000+02:00,2017-06-09T16:28:58.000+02:00,open,pickup
2017-06-09T16:23:01.000+02:00,,10117,e61c5d40-5900-4abd-b0a5-26cbda485385,2017-06-09T16:46:14.000+02:00,2017-06-09T16:46:14.000+02:00,open,dropoff
2017-06-09T16:23:01.000+02:00,,10117,e61c5d40-5900-4abd-b0a5-26cbda485385,2017-06-09T16:40:46.000+02:00,2017-06-09T16:40:46.000+02:00,open,pickup
2017-06-09T16:23:15.000+02:00,2017-06-09T16:23:15.000+02:00,10961,e00a58c2-f6c1-4d05-881d-6472abb8072e,2017-06-09T16:12:39.000+02:00,2017-06-09T16:12:39.000+02:00,closed,pickup
2017-06-09T16:23:44.000+02:00,,10623,1e1d03ca-291c-4ee5-b89e-18aa4c483188,2017-06-09T16:36:39.000+02:00,2017-06-09T16:36:39.000+02:00,open,pickup
2017-06-09T16:23:44.000+02:00,,10719,ce541578-08d3-48e0-b458-ff9a8bac08a6,2017-06-09T16:24:55.000+02:00,2017-06-09T16:29:05.000+02:00,open,dropoff
2017-06-09T16:23:59.000+02:00,,10969,e507f273-b4fd-46dd-9ce0-9f7e5240b5d1,2017-06-09T16:29:45.000+02:00,2017-06-09T16:30:43.000+02:00,open,pickup
2017-06-09T16:23:59.000+02:00,,10117,e61c5d40-5900-4abd-b0a5-26cbda485385,2017-06-09T16:46:14.000+02:00,2017-06-09T16:46:14.000+02:00,cancelled,dropoff
2017-06-09T16:23:59.000+02:00,,10117,e61c5d40-5900-4abd-b0a5-26cbda485385,2017-06-09T16:40:46.000+02:00,2017-06-09T16:40:46.000+02:00,cancelled,pickup
2017-06-09T16:24:08.000+02:00,,10623,1e1d03ca-291c-4ee5-b89e-18aa4c483188,2017-06-09T16:36:39.000+02:00,2017-06-09T16:36:39.000+02:00,cancelled,pickup
2017-06-09T16:24:08.000+02:00,,10719,ce541578-08d3-48e0-b458-ff9a8bac08a6,2017-06-09T16:24:55.000+02:00,2017-06-09T16:30:07.000+02:00,open,dropoff
2017-06-09T16:24:20.000+02:00,,10969,e507f273-b4fd-46dd-9ce0-9f7e5240b5d1,2017-06-09T16:29:45.000+02:00,2017-06-09T16:28:56.000+02:00,open,pickup
2017-06-09T16:24:20.000+02:00,,10117,bdb75257-d233-424c-9cea-58a52cb405b8,2017-06-09T16:41:35.000+02:00,2017-06-09T16:41:35.000+02:00,open,pickup
2017-06-09T16:24:25.000+02:00,,10179,55035d74-7eb7-452a-934b-8c985df9892a,2017-06-09T16:55:28.000+02:00,2017-06-09T16:55:28.000+02:00,open,dropoff
2017-06-09T16:24:30.000+02:00,2017-06-09T16:24:29.000+02:00,10969,7c6012e0-564c-4b2a-a7be-2f5699da9ed2,2017-06-09T16:22:11.000+02:00,2017-06-09T16:22:11.000+02:00,closed,pickup
2017-06-09T16:26:15.000+02:00,,10999,d7ae2511-3885-4281-b062-ed9a0b5b1a58,2017-06-09T16:42:21.000+02:00,2017-06-09T16:42:21.000+02:00,open,pickup
2017-06-09T16:26:31.000+02:00,,10999,d7ae2511-3885-4281-b062-ed9a0b5b1a58,2017-06-09T16:42:21.000+02:00,2017-06-09T16:42:21.000+02:00,open,pickup
2017-06-09T16:26:38.000+02:00,2017-06-09T16:26:38.000+02:00,10559,59a2b787-cf31-4d9f-9457-9f900e7feef2,2017-06-09T16:27:13.000+02:00,2017-06-09T16:27:13.000+02:00,closed,pickup
2017-06-09T16:27:09.000+02:00,,10119,b199cf69-840c-4e9b-aa73-e976e2272583,2017-06-09T16:39:52.000+02:00,2017-06-09T16:45:15.000+02:00,open,dropoff
2017-06-09T16:27:09.000+02:00,,10178,18b5d3fb-08d5-45c8-abfc-a331ce9208da,2017-06-09T16:38:32.000+02:00,2017-06-09T16:38:32.000+02:00,open,pickup
2017-06-09T16:27:09.000+02:00,,10439,18b5d3fb-08d5-45c8-abfc-a331ce9208da,2017-06-09T16:55:54.000+02:00,2017-06-09T16:55:54.000+02:00,open,dropoff
2017-06-09T16:27:15.000+02:00,,10178,18b5d3fb-08d5-45c8-abfc-a331ce9208da,2017-06-09T16:38:32.000+02:00,2017-06-09T16:38:32.000+02:00,open,pickup
2017-06-09T16:27:19.000+02:00,,10551,6546ff15-4359-4917-9e5d-e7e490859198,2017-06-09T16:32:35.000+02:00,2017-06-09T16:32:35.000+02:00,open,pickup
2017-06-09T16:27:24.000+02:00,,10551,6546ff15-4359-4917-9e5d-e7e490859198,2017-06-09T16:32:35.000+02:00,2017-06-09T16:32:35.000+02:00,open,pickup
2017-06-09T16:27:43.000+02:00,,10435,cd263044-602b-4e66-8e03-a7b8788de308,2017-06-09T17:05:07.000+02:00,2017-06-09T17:05:07.000+02:00,open,dropoff
2017-06-09T16:27:43.000+02:00,,10719,ce541578-08d3-48e0-b458-ff9a8bac08a6,2017-06-09T16:24:55.000+02:00,2017-06-09T16:28:30.000+02:00,open,dropoff
2017-06-09T16:27:44.000+02:00,,10969,e507f273-b4fd-46dd-9ce0-9f7e5240b5d1,2017-06-09T16:29:45.000+02:00,2017-06-09T16:30:44.000+02:00,open,pickup
2017-06-09T16:27:44.000+02:00,,10117,bdb75257-d233-424c-9cea-58a52cb405b8,2017-06-09T16:41:35.000+02:00,2017-06-09T16:41:35.000+02:00,cancelled,pickup
2017-06-09T16:27:48.000+02:00,,10969,e507f273-b4fd-46dd-9ce0-9f7e5240b5d1,2017-06-09T16:29:45.000+02:00,2017-06-09T16:29:30.000+02:00,open,pickup
2017-06-09T16:27:48.000+02:00,,10969,b6a0cf9b-fa2e-454d-ab85-124a25439e54,2017-06-09T16:51:30.000+02:00,2017-06-09T16:51:30.000+02:00,open,dropoff
